0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:07 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:08 +0200] "GET /Autob%C3%B6rse/registration.html HTTP/1.1" 200 1067
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:08 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:11 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 2910
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:11 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:34 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:44:34 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:45:17 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 2913
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:45:17 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:35 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:35 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:40 +0200] "GET /Autob%C3%B6rse/impressum.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:42 +0200] "GET /Autob%C3%B6rse/LogoutServlet HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:46 +0200] "GET /Autob%C3%B6rse/impressum.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:47 +0200] "GET /Autob%C3%B6rse/LogoutServlet HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:47 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:46:54 +0200] "GET /Autob%C3%B6rse/LogoutServlet HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:47:46 +0200] "POST /Autob%C3%B6rse/LoginServlet HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:47:46 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:05 +0200] "POST /Autob%C3%B6rse/LoginServlet HTTP/1.1" 412 696
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:09 +0200] "GET /Autob%C3%B6rse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:09 +0200] "GET /Autob%C3%B6rse/ HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:09 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:10 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:40 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:40 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:48:41 +0200] "GET /Autob%C3%B6rse/impressum.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:54:16 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:54:16 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:54:23 +0200] "POST /Autob%C3%B6rse/LoginServlet HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:54:27 +0200] "GET /Autob%C3%B6rse/LogoutServlet HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:54:40 +0200] "POST /Autob%C3%B6rse/register HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:54:55 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:55:51 +0200] "GET /Autob%C3%B6rse/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jul/2020:14:55:51 +0200] "GET /Autob%C3%B6rse/style.css HTTP/1.1" 304 -
